Term,ICD_clean
78065002: Enterococcus faecalis,B95.2
491000119101: Bacteremia caused by Gram-positive bacteria,B95.3
13790001000004101: Bacteremia due to Methicillin resistant Staphylococcus aureus,B95.62
266096002: Methicillin resistant Staphylococcus aureus infection,B95.62
406602003: Infection due to Staphylococcus aureus,B95.62
491000119101: Bacteremia due to gram positive bacteria,B96.0
91428005: Haemophilus influenzae infection,B96.0
186435004: Bacterial infection due to Klebsiella pneumoniae,B96.1
186437007: Proteus infection,B96.1
11218009: Infection due to Pseudomonas aeruginosa,B96.5
63398001: Bacterial infection due to Pseudomonas,B96.5
700054008: Sepsis due to fungus,B96.5
32763000: Fusobacterium nucleatum,B96.89
25225006: Disease due to Adenovirus,B97.0
53648006: Disease due to Enterovirus,B97.1
12188008: Parainfluenza,B97.1
407496005: Infection due to Human parainfluenza virus 1,B97.2
34014006: Viral disease,B99
451991000124106: Recurrent infectious disease,B99
128792003: Atypical teratoid/rhabdoid tumor,Based
4480: GI malignancy,C18.9
25370001: Hepatocellular carcinoma,C22.0
3238: Hepatocellular Carcinoma,C22.0
45024009: Hepatoblastoma,C22.0
109841003: Liver cell carcinoma (clinical),C22.0
309529002: Lung mass,C34.9
3199: Lung tumor or mass,C34.90
363358000: Malignant tumor of lung,C34.90
"3208: Cardiac tumor, primary",C38.0
4291: Mediastinal tumor or mass,C38.1
363438000: Malignant tumor of vertebral column,C41.2
3213: Osteosarcoma,C41.9
3197: Neck tumor or mass,C47.9
404053004: Alveolar rhabdomyosarcoma,C49.3
69559004: Retroperitoneal mass,C49.9
189847002: Malignant teratoma,C56.9
716077006: Teratoma of ovary,C56.9
87860000: Testicular mass,C62.90
4482: Wilms' tumor,C64.9
38713004: Astrocytoma,C71.0
443643007: Ependymoma,C71.0
443333004: Medulloblastoma,C71.6
428960009: Low grade glioma of brainstem,C71.7
1156459007: Anaplastic ganglioglioma of central nervous system,C71.7
126952004: Neoplasm of brain,C71.9
126953009: Neoplasm of cerebrum,C71.9
254935002: Intracranial tumor,C71.9
428061005: Malignant neoplasm of brain,C71.9
87101000119106: Primary malignant glioma of brain,C71.9
93727008: Primary malignant neoplasm of brain,C71.9
254937005: Intracranial glioma,C71.9
254939008: Ependymoma of brain,C71.9
276826005: Malignant glioma of brain,C71.9
277461004: Anaplastic astrocytoma of brain,C71.9
393564001: Glioma,C71.9
428965004: Low grade glioma of thalamus,C71.9
126962006: Neoplasm of spinal cord,C72.0
363475005: Malignant tumor of spinal cord,C72.0
254976006: Optic nerve glioma,C72.3
397614000: Suspected central nervous system cancer,C72.9
363478007: Malignant tumor of thyroid gland,C73.9
116381000119105: Ganglioneuroblastoma,C74.9
432328008: Neuroblastoma,C74.9
87364003: Neuroblastoma,C74.90
237721006: Tumor of pituitary and suprasellar region,C75.1
127026004: Neoplasm of pineal gland,C75.3
31671006: Pineoblastoma,C75.3
448250003: Malignant teratoma of pineal region,C75.3
3218: Neoplasm or tumor malignant,C77.9
4080: Malignancy,C79.9
128462008: Secondary malignant neoplastic disease,C80.9
1187425009: Carcinoma,C80.9
4766: Lymphoma,C81.9
22197008: Burkitt cell leukemia,C83.7
77381001: Burkitt lymphoma,C83.7
55342001: Neoplastic disease,C85.9
128823009: Precursor B-cell lymphoblastic leukemia,C91.0
277572006: Pre B-cell acute lymphoblastic leukemia,C91.0
277575008: T-cell acute lymphoblastic leukemia,C91.0
4751: Leukemia,C91.0
4781: Acute lymphoblastic leukemia,C91.0
91856007: Acute lymphoid leukemia in remission,C91.0
91857003: Acute lymphoid leukemia,C91.0
128822004: Precursor cell lymphoblastic leukemia,C91.0
277571004: B-cell acute lymphoblastic leukemia,C91.2
93169003: Lymphoid leukemia in remission,C91.40
93143009: Leukemia,C91.90
28950004: Acute promyelocytic leukemia,C92.0
"359640008: Acute myeloid leukemia without maturation, FAB M1",C92.0
4783: Acute myelogenous leukemia,C92.0
91855006: Acute leukemia,C92.0
"91861009: Acute myeloid leukemia, disease",C92.0
445227008: Juvenile myelomonocytic leukemia,C93.0
370569000: Myelosuppression,C93.40
91860005: Acute myeloid leukemia in remission,C94.42
277602003: Acute megakaryoblastic leukemia,C94.7
190030009: Compound leukemias,C95.6
65399007: Langerhans cell histiocytosis,C96.6
425983008: Autologous peripheral blood stem cell transplant,D09.9
234336002: Hemopoietic stem cell transplant,D09.9
425941003: Pre B-cell acute lymphoblastic leukemia in remission,D10.0
278527001: Focal nodular hyperplasia of liver,D13.5
232457008: Laryngeal papillomatosis,D14.1
72789009: Inflammatory pseudotumor of orbit,D14.8
93163002: Lipoma (clinical),D17
3221: Hemangioma,D18.01
93471006: Hemangioma of skin,D18.01
400210000: Hemangioma,D18.02
254776001: Multiple angiomatous nevi of skin,D18.09
195382003: Spider nevus,D18.2
302846007: Rhabdomyoma,D21.0
3216: Rhabdomyoma,D21.6
"3898006: Neoplasm, benign",D21.9
404035005: Granular cell tumor,D21.9
400010006: Melanocytic nevus of skin,D22.9
400096001: Melanocytic nevus,D22.9
402555001: Multiple benign melanocytic nevi,D22.9
427186000: Dermatofibroma,D23.19
254845004: Fibroadenoma of breast,D24.1
119421006: Serous cystadenoma of ovary,D27.0
36591000119102: Teratoma,D29.2
189179009: Craniopharyngioma,D32.3
128854008: Pilocytic astrocytoma,D33.0
429408002: Low grade glioma of brain,D33.0
428954009: Low grade glioma,D33.1
"92503002: Neurofibromatosis, type 2",D33.2
237495005: Thyroid nodule,D35.0
134209002: Prolactinoma,D35.2
400006008: Hamartoma,D35.2
403818001: Plexiform neurofibroma,D36.01
404029005: Neurofibroma,D36.01
687131000119107: Neurofibroma of neck,D36.02
687091000119105: Neurofibroma of face,D36.15
255000005: Neurofibroma of orbit,D36.16
4700: Hematological disease,D36.89
449799008: Subependymal giant cell astrocytoma,D43.0
237713000: Hypothalamic mass,D45.0
4728: Myelodysplasia,D46
705061009: Childhood myelodysplastic syndrome,D46.3
109995007: Myelodysplastic syndrome (clinical),D46.9
254290004: Post-transplant lymphoproliferative disorder,D47.2
8082: Post-transplant lymphoproliferative disorder,D47.5
127035006: Bone marrow disorder,D47.9
49783001: Paraneoplastic syndrome,D48.81
724556004: Iron deficiency anemia due to blood loss,D50.0
165623008: Serum iron low,D50.9
234340006: Iron deficiency without anemia,D50.9
234349007: Microcytic anemia,D50.9
35240004: Iron deficiency,D50.9
87522002: Iron deficiency anemia,D50.9
126121000119104: Low serum ferritin,D50.9
161456009: H/O: anemia - iron deficient,D50.9
190634004: Cobalamin deficiency,D51.0
124134002: Deficiency of glucose-6-phosphate dehydrogenase,D55.0
238012003: Thiopurine methyltransferase deficiency,D55.0
267550008: Congenital methemoglobinemia,D55.0
62403005: Glucose-6-phosphate dehydrogenase deficiency anemia,D55.0
80141007: Hemoglobinopathy,D55.9
26682008: Homozygous beta thalassemia,D56.0
4702: Thalassemia major,D56.0
68913001: alpha Thalassemia,D56.0
19442009: Heterozygous thalassemia,D56.1
65959000: Beta thalassemia,D56.1
65959000: beta Thalassemia,D56.1
191187006: Alpha trait thalassemia,D56.3
269175006: Beta thalassemia trait,D56.3
76050008: Hemoglobin C trait,D56.3
127040003: Hb SS disease,D57.0
"4703: Sickle cell anemia (SS disease, Hb S, Hb SC)",D57.0
416290001: Hemoglobin S sickling disorder without crisis,D57.00
417279003: Hemoglobin S sickling disorder with crisis,D57.01
417425009: Hemoglobin SS disease with crisis,D57.01
440206000: Hemoglobin SS disease with vasoocclusive crisis,D57.01
769167005: Vaso-occlusive pain episode in sickle cell disease,D57.01
13886001: Sickle cell nephropathy,D57.1
417357006: Sickling disorder due to hemoglobin S,D57.1
128431000119106: Acute chest syndrome due to sickle cell-hemoglobin C disease with crisis,D57.2
35434009: Sickle cell-hemoglobin C disease,D57.2
16402000: Sickle cell trait,D57.3
4729: Sickle cell trait,D57.329
417683006: Sickle cell-hemoglobin C disease without crisis,D57.411
15601008: Intravascular hemolysis,D59.0
4761: Hemolysis,D59.0
413603009: Autoimmune hemolytic anemia,D59.1
74789008: Coombs positive hemolytic anemia,D59.1
126729006: Thrombotic microangiopathy,D59.3
4778: Hemolytic anemia,D59.9
30575002: Fanconi's anemia,D61
328301000119102: Pancytopenia due to antineoplastic chemotherapy,D61.818
127034005: Pancytopenia,D61.9
306058006: Aplastic anemia,D61.9
4769: Aplastic anemia,D61.9
50820005: Cytopenia,D61.9
123719009: Secondary cytopenia,D61.9
413532003: Anemia due to blood loss,D62
191268006: Chronic anemia,D63.1
49708008: Anemia of chronic renal failure,D63.1
691421000119108: Anemia co-occurrent and due to chronic kidney disease stage 3,D63.1
707323002: Anemia in chronic kidney disease,D63.1
707324008: Anemia in end stage renal disease,D63.1
69281008: Transfusion hemosiderosis,D64.0
271737000: Anemia,D64.9
428383000: Anemia due to medication,D64.9
4760: Anemia,D64.9
164139008: O/E - anemia,D64.9
275538002: H/O: anemia,D64.9
4717: Disseminated intravascular coagulation (antiphospholipid),D65
4753: Disseminated intravascular coagulation,D65
90935002: Hemophilia,D66
266889000: FH: Hemophilia,D66.9
123789000: Blood coagulation disorder with prolonged bleeding time,D68.0
4704: Von Willebrands disease,D68.0
128105004: von Willebrand disorder,D68.0
767713001: Factor XI deficiency,D68.019
234457009: Hypofibrinogenemia,D68.11
249418002: Bleeding of oral mucosa,D68.2
35554008: Acquired factor XI deficiency disease,D68.2
37193007: Factor VII deficiency,D68.21
4757: Bleeding with coumadin (warfarin) therapy,D68.32
10191004: Anticoagulant effect,D68.4
"4710: Hypocoagulable condition, secondary to medication",D68.4
1563006: Protein S deficiency disease,D68.51
4707: Hypercoagulable condition or disorder,D68.59
76407009: Protein C deficiency disease,D68.6
439698008: Hereditary thrombophilia,D68.9
4722: Clotting factor disorder,D68.9
4754: Coagulation disorder,D68.9
64779008: Blood coagulation disorder,D68.9
3940: Preoperative bleeding disorder,D68.9
165563002: Coag./bleeding tests abnormal,D68.9
22716005: Platelet disorder,D69
191306005: Henoch-Sch??nlein purpura,D69.0
271813007: Petechiae,D69.0
284078000: Purpuric rash,D69.0
234478007: Giant platelet syndrome,D69.1
"441134009: Congenital dysmegakaryopoietic thrombocytopenia, Paris Trousseau type",D69.2
234490009: Immune thrombocytopenic purpura,D69.3
2897005: Immune thrombocytopenia,D69.3
32273002: Idiopathic thrombocytopenic purpura,D69.3
19307009: Drug-induced immune thrombocytopenia,D69.40
191322006: Thrombocytopenia due to drugs,D69.42
4746: Platelet disorder,D69.6
4752: Thrombocytopenia,D69.6
74576004: Acquired thrombocytopenia,D69.6
75331009: Evans syndrome,D69.6
302215000: Thrombocytopenic disorder,D69.6
735432004: Acquired neutropenia,D70
409089005: Febrile neutropenia,D70.0
416729007: Neutropenia associated with AIDS,D70.1
47318007: Drug-induced neutropenia,D70.2
165517008: Neutropenia,D70.9
419188005: Leukopenia,D70.9
89655007: Congenital neutropenia,D70.9
783199003: Autosomal recessive severe congenital neutropenia due to JAGN1 deficiency,D70.9
387759001: Chronic granulomatous disease,D71.1
165518003: Neutrophilia,D72.819
414850009: Neutrophilia,D72.819
48813009: Lymphocytopenia,D72.82
8318: Leukocytosis,D72.829
414478003: Leukocytosis,D72.9
84828003: Leukopenia,D72.9
95846001: Red blood cell sequestration in spleen,D73.0
707147002: Asplenia,D73.0
10362008: Accessory spleen,D73.1
58381000: Hypersplenism,D73.1
8704: Splenic disorder or malformation,D73.9
127062003: Erythrocytosis,D75.1
4727: Polycythemia,D75.1
6631009: Thrombocytosis,D75.1
165474009: Microcytosis,D75.8
397073000: Macrocytosis,D75.81
234339009: Macrocytosis - no anemia,D75.81
234437005: Hemophagocytic lymphohistiocytosis,D76.1
430478003: Macrophage activation syndrome,D76.1
40527005: Idiopathic pulmonary hemosiderosis,D77.0
119250001: Hypogammaglobulinemia,D80.1
190981001: Selective immunoglobulin G deficiency,D80.1
23238000: Common variable agammaglobulinemia,D80.1
29260007: Immunoglobulin A deficiency,D80.1
58606001: Primary immune deficiency disorder,D80.8
102465008: Abnormal susceptibility to infections,D80.9
71922006: Immune defect,D80.9
31323000: Severe combined immunodeficiency disease,D81.1
4612: Absent or hypoplastic thymus (athymic),D81.2
442459007: Combined immunodeficiency disease,D81.9
82286005: Hyperimmunoglobulin M syndrome,D82.2
11243003: Oculocutaneous albinoidism,D84.0
234599007: Complement 2 deficiency,D84.1
423294001: Idiopathic hypereosinophilic syndrome,D84.1
234568006: Chronic mucocutaneous candidiasis,D84.89
234532001: Immunodeficiency disorder,D84.9
36138009: Congenital immunodeficiency disease,D84.9
4078: Immune deficiency,D84.9
429450002: Disorder related to bone marrow transplantation,D89.0
127388009: Hypergammaglobulinemia,D89.0
8083: Donor specific antibody,D89.81
234646005: Graft versus host disease,D89.810
402356004: Chronic graft-versus-host disease,D89.810
131145007: Altered immunity,D89.9
414029004: Disorder of immune function,D89.9
370388006: Patient immunocompromised,D89.9
8084: Human leukocyte antigen (HLA) sensitization,D89.9
370391006: Patient immunosuppressed,D89.9
234335003: Allogeneic unrelated bone marrow transplant,D90.810
4600: Endocrine disorder,E00
312397004: Thyroid function tests normal,E01.9
217710005: Congenital iodine deficiency syndrome,E02
249477003: Increased thirst,E02.9
190268003: Congenital hypothyroidism,E03.0
237515009: Congenital hypothyroidism without goiter,E03.1
26692000: Central hypothyroidism,E03.1
722940002: Acquired central hypothyroidism,E03.4
88273006: Iatrogenic hypothyroidism,E03.4
111566002: Acquired hypothyroidism,E03.9
131090001: Decreased thyroid hormone level,E03.9
237519003: Autoimmune hypothyroidism,E03.9
40930008: Hypothyroidism,E03.9
4654: Hypothyroidism,E03.9
54823002: Subclinical hypothyroidism,E03.9
82598004: Secondary hypothyroidism,E03.9
161443002: H/O: hypothyroidism,E03.9
166336006: Serum TSH level normal,E03.9
237527007: Postablative hypothyroidism,E03.9
237570007: Multinodular goiter,E04.9
3716002: Goiter,E04.9
237499004: Thyrotoxicosis due to Graves' disease,E05.00
309080005: Raised thyroid stimulating hormone level,E05.00
353295004: Graves' disease,E05.00
309080005: Raised TSH level,E05.9
427970008: Subclinical hyperthyroidism,E05.9
131089005: Increased thyroid hormone level,E05.90
34486009: Hyperthyroidism,E05.90
"4653: Hyperthyroidism, thyrotoxicosis",E05.90
90739004: Thyrotoxicosis,E05.90
166337002: Serum TSH level abnormal,E06.3
21983002: Hashimoto thyroiditis,E06.3
237520009: Hypothyroidism due to Hashimoto's thyroiditis,E06.3
312399001: Thyroid function tests abnormal,E06.3
45053005: Chronic thyroiditis,E06.3
66944004: Autoimmune thyroiditis,E06.3
166345007: Thyroid hormone tests abnormal,E06.3
131088002: Abnormal thyroid hormone,E07.89
4659: Thyroid disease,E07.9
190308003: Thyroid-binding globulin abnormality,E07.99
80394007: Hyperglycemia,E08
56051008: Ketoacidosis,E08.10
441690002: Drug-induced hyperglycemia,E09.65
708122002: Steroid-induced hyperglycemia,E09.9
4606: Diabetes,E10
4613: Diabetes mellitus type 1,E10
290002008: Brittle type 1 diabetes mellitus,E10.1
367991000119101: Hyperglycemia due to type 1 diabetes mellitus,E10.10
420422005: Diabetic ketoacidosis,E10.10
11530004: Brittle diabetes mellitus,E10.6
444073006: Type 1 diabetes mellitus uncontrolled,E10.65
313435000: Type 1 diabetes mellitus without complication,E10.9
444074000: Type 1 diabetes mellitus well controlled,E10.9
46635009: Type 1 diabetes mellitus,E10.9
59079001: Diabetes mellitus associated with hormonal etiology,E10.9
127013003: Diabetic renal disease,E11.2
275552000: H/O: kidney disease,E11.2
421986006: Persistent proteinuria associated with type 2 diabetes mellitus,E11.29
190388001: Type 2 diabetes mellitus with multiple complications,E11.65
268519009: Diabetic - poor control,E11.65
368051000119109: Hyperglycemia due to type 2 diabetes mellitus,E11.65
443694000: Type II diabetes mellitus uncontrolled,E11.65
444110003: Type 2 diabetes mellitus well controlled,E11.65
81531005: Type 2 diabetes mellitus in obese,E11.65
48606007: Drug resistance to insulin,E11.65
237623001: Acute hyperglycemia,E11.9
313436004: Type 2 diabetes mellitus without complication,E11.9
405749004: Newly diagnosed diabetes,E11.9
44054006: Type 2 diabetes mellitus,E11.9
444751005: High hemoglobin A1c level,E11.9
444780001: High glucose level in blood,E11.9
4614: Diabetes mellitus type II,E11.9
4655: Hyperglycemia,E11.9
73211009: Diabetes mellitus,E11.9
8801005: Secondary diabetes mellitus,E11.9
237601000: Secondary endocrine diabetes mellitus,E13.9
402599005: Acanthosis nigricans,E15.8
237630007: Hypoglycemic disorder,E16.0
237636001: Recurrent severe hypoglycemia,E16.0
4601: Hypoglycemia,E16.0
6974005: Fasting hypoglycemia,E16.0
20825002: Ketotic hypoglycemia,E16.1
360339005: Congenital hyperinsulinism,E16.1
83469008: Hyperinsulinism,E16.1
166922008: Blood glucose abnormal,E16.2
271327008: Hypoglycemic syndrome,E16.2
302866003: Hypoglycemia,E16.2
56090007: Pseudohypoparathyroidism type I B,E20.1
58833000: Pseudohypoparathyroidism type I A,E20.1
58976002: Pseudohypoparathyroidism,E20.1
359742006: Transient hypoparathyroidism,E20.8
36976004: Hypoparathyroidism,E20.9
4604: Hypoparathyroidism,E20.9
19034001: Hyperparathyroidism due to renal insufficiency,E21.0
91478007: Secondary hyperparathyroidism,E21.2
66999008: Hyperparathyroidism,E21.3
131007009: Abnormal prolactin,E22.1
237662005: Hyperprolactinemia,E22.2
386777001: Abnormal anti-diuretic hormone,E22.2
237688008: Idiopathic growth hormone deficiency,E23.0
237689000: Growth hormone neurosecretory dysfunction,E23.0
237718009: Pituitary gland enlarged,E23.0
32390006: Panhypopituitarism,E23.0
33927004: Hypogonadotropic hypogonadism,E23.0
397827003: Growth hormone deficiency,E23.0
399244003: Disorder of pituitary gland,E23.0
51742006: Disorder of anterior pituitary,E23.0
74728003: Hypopituitarism,E23.0
15771004: Diabetes insipidus,E23.2
45369008: Neurohypophyseal diabetes insipidus,E23.2
4607: Diabetes insipidus,E23.2
111568001: Hypothalamic syndrome,E23.6
82793005: Hypothalamic obesity,E23.6
67967009: Cushingoid facies,E24.4
41299009: Iatrogenic Cushing's disease,E24.8
237735008: Adrenal Cushing's syndrome,E24.9
47270006: Hypercortisolism,E24.9
103021001: Premature adrenarche,E27.0
76715008: Addison's disease due to autoimmunity,E27.1
111563005: Adrenal hypofunction,E27.40
131081008: Decreased cortisol level,E27.40
237763005: Iatrogenic adrenal insufficiency,E27.40
386584007: Adrenal cortical hypofunction,E27.40
4611: Adrenal insufficiency,E27.40
4657: Corticosteroid therapy for adrenal insufficiency,E27.40
16685009: Hypocortisolism secondary to another disorder,E27.8
156035004: Primary amenorrhea,E28.0
16041008: Female hypogonadism syndrome,E28.0
"28728008: Polycystic kidney disease, adult type",E28.11
237055002: Polycystic ovary syndrome,E28.2
237793004: Hyperandrogenization syndrome,E28.2
371131009: Hyperandrogenemia,E28.2
69878008: Polycystic ovaries,E28.2
413487000: Amenorrhea associated with obesity,E28.2
48723006: Male hypogonadism,E28.3
65846009: Primary ovarian failure,E28.3
111550004: Ovarian failure,E28.310
361117008: Female hypogonadotropic hypogonadism,E28.310
442761002: Hypothalamic-pituitary-gonadal axis dysfunction,E28.319
8913004: Primary physiologic amenorrhea,E28.6
111551000: Testicular hypofunction,E29.1
131077008: Increased testosterone level,E29.1
166371006: Gonadotrophin levels raised,E29.1
370999003: Primary hypogonadism,E29.1
48130008: Hypogonadism,E29.1
63223002: Delayed female puberty,E30.0
390875006: O/E - Pre-pubertal,E30.0
102888000: Thelarche,E30.1
123527003: Precocious sexual development,E30.1
237816004: Central precocious puberty,E30.1
400003000: Delayed puberty,E30.1
400179000: Precocious puberty,E30.1
123526007: Delay in sexual development AND/OR puberty,E30.1
102889008: Premature development of the breasts,E30.8
237815000: Precocious pubarche,E30.8
131004002: Abnormal human growth hormone,E34.3
237836003: Short stature disorder,E34.3
368331000119100: Short stature co-occurrent and due to endocrine disorder,E34.3
4148: Short stature,E34.3
421684006: Adult growth hormone deficiency,E34.3
432526008: Familial short stature,E34.3
724385009: Growth delay due to insulin-like growth factor type 1 deficiency,E34.3
735643002: Short stature of childhood,E34.3
271817008: Has not grown in height,E34.3
129815002: Delayed growth and development,E34.3
162849005: O/E - short stature,E34.3
237813007: Constitutional delay of growth and puberty,E34.4
237835004: Constitutional tall stature,E34.4
248328003: Tall stature,E34.4
4149: Tall stature,E34.4
715625007: Growth delay due to insulin-like growth factor I resistance,E34.4
83077003: Tall for age,E34.4
425379001: Cytochrome p450 CYP2D6 enzyme deficiency,E34.5
362969004: Disorder of endocrine system,E34.9
29740003: Nutritional marasmus,E41
248325000: Undernourished,E41.034
190606006: Moderate protein energy malnutrition,E43.9
360549009: Severe protein-calorie malnutrition (Gomez: less than 60% of standard weight),E44.0
190602008: Moderate protein-calorie malnutrition (weight for age 60-74% of standard),E44.1
427698009: Refeeding syndrome,E44.1
762492001: Underweight in adolescence,E44.1
445261000124106: Nutrition impaired,E44.5
302869005: Nutritional stunting,E45
448801000124102: Underweight in childhood,E45
272588001: Malnutrition (calorie),E46
710795007: Inadequate dietary energy intake,E46
"129845004: At risk for imbalanced nutrition, less than body requirements",E46
190603003: Mild protein-calorie malnutrition (weight for age 75-89% of standard),E46.1
238114000: Essential fatty acid deficiency,E50.8
386080007: Vitamin B6 deficiency,E53.8
76169001: Ascorbic acid deficiency,E54
70241007: Nutritional deficiency,E55
131113002: Increased vitamin D,E55.9
131114008: Decreased vitamin D,E55.9
34713006: Vitamin D deficiency,E55.9
386072000: Deficiency of vitamin D3,E55.9
41345002: Rickets,E55.9
54137008: Vitamin E deficiency,E56.0
190656001: Dietary calcium deficiency,E58
433332006: Inadequate dietary intake of calcium,E58.1
73281004: Chronic zinc deficiency,E60.9
2492009: Nutritional disorder,E63.9
4439: Nutritional disorder,E63.9
765060000: Ketogenic diet,E63.9
190669002: Deficiency of multiple nutrient elements,E63.9
4156: Fat necrosis,E65.2
162690006: O/E - obese,E66
162863004: Body mass index 25-29 - overweight,E66
248311001: Central obesity,E66.01
267023007: Excessive eating - polyphagia,E66.01
408512008: Body mass index 40+ - severely obese,E66.01
444862003: Childhood obesity,E66.01
450451007: Overweight in childhood,E66.01
819948005: Obese class III,E66.01
83911000119104: Severe obesity,E66.01
190966007: Extreme obesity with alveolar hypoventilation,E66.2
4283: Obesity hypoventilation syndrome (Pickwickian syndrome),E66.2
"773663004: Rapid-onset childhood obesity, hypothalamic dysfunction, hypoventilation, autonomic dysregulation syndrome",E66.2
238136002: Morbid obesity,E66.8
4097: Morbid obesity,E66.8
224994002: Excessive weight gain,E66.9
238134004: Generalized obesity,E66.9
275947003: O/E - overweight,E66.9
4092: Obesity,E66.9
414916001: Obesity,E66.9
48499001: Increased body mass index,E66.9
238131007: Overweight,E66.9
427572007: Recent weight gain,E66.9
63702009: Alstrom syndrome,E70.1
6483008: Tyrosinase-negative oculocutaneous albinism,E70.310
27718001: Maple syrup urine disease,E71.0
42393006: Methylmalonic acidemia,E71.11
"76175005: Glutaric aciduria, type 1",E71.110
297231002: 3-Methylglutaconic aciduria type 2,E71.112
74653006: Cobalamin C disease,E71.112
69080001: Propionic acidemia,E71.131
4855: Very long chain acyl-coenzyme A dehydrogenase deficiency,E71.311
237997005: Very long chain acyl-CoA dehydrogenase deficiency,E71.311
65389002: Adrenoleukodystrophy,E71.318
421784001: Carnitine deficiency,E71.40
238068007: Bifunctional peroxisomal enzyme deficiency,E71.5
11282001: Homocystinuria,E72.1
419503008: Hyperhomocysteinemia,E72.1
49748000: Succinate-semialdehyde dehydrogenase deficiency,E72.1
52311001: Homocystinemia,E72.10
9360008: Hyperammonemia,E72.11
